date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:35:45	83768/83768	---M--	200	added ('OK')	application/pdf	etag:%220883ba3d5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m199.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m199.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:46	79755/79755	---M--	200	added ('OK')	application/pdf	etag:%220883ba3d5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m200.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m200.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:47	105656/105656	---M--	200	added ('OK')	application/pdf	etag:%220b56ca4d5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m201.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m201.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:48	115930/115930	---M--	200	added ('OK')	application/pdf	etag:%220ef77db9ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m202.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m202.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:48	117838/117838	---M--	200	added ('OK')	application/pdf	etag:%220ef77db9ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m203.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m203.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:49	150982/150982	---M--	200	added ('OK')	application/pdf	etag:%220ef77db9ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m204.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m204.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:49	75990/75990	---M--	200	added ('OK')	application/pdf	etag:%2289975a4e7dedda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m205.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m205.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:50	77981/77981	---M--	200	added ('OK')	application/pdf	etag:%229bc5844e7dedda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m206.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m206.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:50	88373/88373	---M--	200	added ('OK')	application/pdf	etag:%2219b5106f82edda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m207.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m207.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:53	574784/574784	---M--	200	added ('OK')	application/pdf	etag:%22cbefba8a49f2da1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m1285.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m1285.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
